analyst_name,broker,team_name,industry,award_name,award_year,rank,source_note,active
王鹤涛,长江证券,王鹤涛团队,金属和金属新材料,新财富双钻石分析师,2024,1,2024双钻石(累计13届第一),1
张继强,华泰证券,张继强团队,固定收益,新财富钻石分析师,2024,1,2024固定收益第1名(累计10届第一),1
旷实,广发证券,旷实团队,传播与文化,新财富白金分析师,2024,1,2024白金(累计7届第一),1
范超,长江证券,范超团队,非金属类建材,新财富白金分析师,2024,1,2024白金(累计7届第一),1
屠亦婷,申万宏源证券,屠亦婷团队,轻工和纺织服装,新财富白金分析师,2024,1,2024白金(累计7届第一),1
郭磊,广发证券,郭磊团队,宏观经济,新财富最佳分析师,2024,1,2024宏观经济第1名,1
钟林楠,广发证券,郭磊团队,宏观经济,新财富最佳分析师,2024,1,2024宏观经济第1名(团队成员),1
王丹,广发证券,郭磊团队,宏观经济,新财富最佳分析师,2024,1,2024宏观经济第1名(团队成员),1
刘晨明,广发证券,刘晨明团队,策略研究,新财富最佳分析师,2024,1,2024策略研究第1名,1
郑恺,广发证券,刘晨明团队,策略研究,新财富最佳分析师,2024,1,2024策略研究第1名(团队成员),1
倪赓,广发证券,刘晨明团队,策略研究,新财富最佳分析师,2024,1,2024策略研究第1名(团队成员),1
张继强,华泰证券,张继强团队,固定收益,新财富最佳分析师,2024,1,2024固定收益第1名,1
仇文竹,华泰证券,张继强团队,固定收益,新财富最佳分析师,2024,1,2024固定收益第1名(团队成员),1
殷超,华泰证券,张继强团队,固定收益,新财富最佳分析师,2024,1,2024固定收益第1名(团队成员),1
郑兆磊,兴业证券,郑兆磊团队,金融工程,新财富最佳分析师,2024,1,2024金融工程第1名,1
刘海燕,兴业证券,郑兆磊团队,金融工程,新财富最佳分析师,2024,1,2024金融工程第1名(团队成员),1
梁凤洁,浙商证券,梁凤洁团队,银行,新财富最佳分析师,2024,1,2024银行第1名,1
邱冠华,浙商证券,梁凤洁团队,银行,新财富最佳分析师,2024,1,2024银行第1名(团队成员),1
刘欣琦,国泰君安证券,刘欣琦团队,非银行金融,新财富最佳分析师,2024,1,2024非银金融第1名,1
乐加栋,广发证券,乐加栋团队,房地产,新财富最佳分析师,2024,1,2024房地产第1名,1
欧阳予,华创证券,欧阳予团队,食品饮料,新财富最佳分析师,2024,1,2024食品饮料第1名,1
董广阳,华创证券,欧阳予团队,食品饮料,新财富最佳分析师,2024,1,2024食品饮料第1名(团队成员),1
孙媛媛,兴业证券,孙媛媛团队,医药生物,新财富最佳分析师,2024,1,2024医药生物第1名,1
黄翰漾,兴业证券,孙媛媛团队,医药生物,新财富最佳分析师,2024,1,2024医药生物第1名(团队成员),1
李锦,长江证券,李锦团队,批零和社会服务业,新财富最佳分析师,2024,1,2024批零社服第1名,1
包承超,国联证券,包承超团队,策略研究,新财富最佳分析师,2024,2,2024策略研究第2名,1
张启尧,兴业证券,张启尧团队,策略研究,新财富最佳分析师,2024,3,2024策略研究第3名,1
傅静涛,申万宏源证券,傅静涛团队,策略研究,新财富最佳分析师,2024,4,2024策略研究第4名,1
牟一凌,民生证券,牟一凌团队,策略研究,新财富最佳分析师,2024,5,2024策略研究第5名,1
李超,浙商证券,李超团队,宏观经济,新财富最佳分析师,2024,2,2024宏观经济第2名,1
张瑜,华创证券,张瑜团队,宏观经济,新财富最佳分析师,2024,3,2024宏观经济第3名,1
芦哲,方正证券,芦哲团队,宏观经济,新财富最佳分析师,2024,4,2024宏观经济第4名,1
熊园,国盛证券,熊园团队,宏观经济,新财富最佳分析师,2024,5,2024宏观经济第5名,1
杨涛,国盛证券,杨涛团队,交通运输仓储,新财富钻石分析师,2024,1,2024钻石分析师(累计10届第一),1
周海晨,申万宏源证券,周海晨团队,公用事业,新财富钻石分析师,2024,1,2024钻石分析师(累计10届第一),1
邱冠华,浙商证券,邱冠华团队,银行,新财富钻石分析师,2024,1,2024钻石分析师(累计10届第一),1
